galaxyID,MHI_Msun,r_arcmin,NHI_intrinsic_cm-2,NHI_conv_FAST_cm-2,NHI_conv_FASTdiv2_cm-2
1.992000000000000000e+03,1.901472951705150073e+06,1.772076623343672164e-01,5.899680356609660682e+20,1.380031497664690176e+19,4.271217790272862618e+19
1.992000000000000000e+03,1.901472951705150073e+06,2.230912292773749583e-01,1.984204389140572406e+20,1.372437454983285760e+19,4.196843290031918285e+19
1.992000000000000000e+03,1.901472951705150073e+06,2.808552176856862204e-01,1.905711345054952980e+20,1.360487358464117760e+19,4.081623570304351437e+19
1.992000000000000000e+03,1.901472951705150073e+06,3.535757705794930206e-01,3.467772129750637363e+19,1.341760862965927936e+19,3.905487273775221146e+19
1.992000000000000000e+03,1.901472951705150073e+06,4.451255225772282054e-01,8.177888584339020186e+19,1.312608818847644262e+19,3.641841039364400742e+19
1.992000000000000000e+03,1.901472951705150073e+06,5.603798318106307796e-01,6.317750679569980621e+19,1.267699969320651366e+19,3.260138154263382835e+19
1.992000000000000000e+03,1.901472951705150073e+06,7.054764105233445326e-01,2.224214227459349299e+19,1.199655597517842227e+19,2.735838072099773235e+19
1.992000000000000000e+03,1.901472951705150073e+06,8.881421806291724952e-01,8.758677009243970560e+18,1.099227068822908314e+19,2.072957965581495910e+19
1.992000000000000000e+03,1.901472951705150073e+06,1.118104760480350457e+00,2.051808707625577472e+18,9.570230634537623552e+18,1.337085812560895181e+19
1.992000000000000000e+03,1.901472951705150073e+06,1.407610496016743928e+00,5.049416697073043840e+17,7.684199866692440064e+18,6.700209817656816640e+18
1.992000000000000000e+03,1.901472951705150073e+06,1.772076623343671109e+00,6.374561645292316800e+16,5.427551356757287936e+18,2.272228306444068352e+18
1.992000000000000000e+03,1.901472951705150073e+06,2.230912292773747918e+00,1.419471547878947000e+16,3.129843032345758208e+18,4.311950724396456320e+17
1.992000000000000000e+03,1.901472951705150073e+06,2.808552176856860871e+00,5.397724937588199000e+15,1.310015404483243520e+18,3.946158788625297600e+16
1.992000000000000000e+03,1.901472951705150073e+06,3.535757705794928984e+00,9.668562120235425000e+14,3.311549621854437120e+17,3.099070667726183500e+15
1.992000000000000000e+03,1.901472951705150073e+06,4.451255225772279722e+00,3.353854922903480000e+14,3.830350099688462400e+16,5.318153862940268125e+14
1.992000000000000000e+03,1.901472951705150073e+06,5.603798318106304244e+00,1.239416891380197344e+14,1.516714182823626250e+15,1.577080929785829062e+14
1.992000000000000000e+03,1.901472951705150073e+06,7.054764105233442884e+00,6.023031122970416406e+13,8.807774198201267188e+13,6.528895927028839062e+13
1.992000000000000000e+03,1.901472951705150073e+06,8.881421806291722731e+00,2.245055634653515234e+13,3.043480094060597266e+13,2.625936924840662109e+13
1.992000000000000000e+03,1.901472951705150073e+06,1.118104760480349924e+01,1.303567561037797656e+13,1.389613798515147656e+13,1.341351205092088867e+13
1.992000000000000000e+03,1.901472951705150073e+06,1.407610496016742907e+01,6.282803937358438477e+12,6.891718214572933594e+12,6.606347412605487305e+12
1.992000000000000000e+03,1.901472951705150073e+06,1.772076623343670221e+01,2.914029663157230469e+12,3.180343561432212402e+12,3.053616900398351562e+12
1.992000000000000000e+03,1.901472951705150073e+06,2.230912292773748007e+01,1.408927826836911865e+12,1.497579586538741943e+12,1.455211400470587158e+12
1.992000000000000000e+03,1.901472951705150073e+06,2.808552176856858296e+01,6.497280441344940186e+11,6.813999059696557617e+11,6.662173910246794434e+11
1.992000000000000000e+03,1.901472951705150073e+06,3.535757705794925698e+01,2.019828904891865845e+11,1.291383957922023315e+11,1.152307288819914856e+11
2.059000000000000000e+03,7.770379599087099545e+06,1.748654906200094727e-01,2.904325127843164979e+21,7.038309965359031091e+19,2.385435326366005658e+20
2.059000000000000000e+03,7.770379599087099545e+06,2.201426097873844800e-01,1.868944278971477918e+21,6.998927901578311270e+19,2.339492036106801971e+20
2.059000000000000000e+03,7.770379599087099545e+06,2.771431256800256371e-01,1.145912012643292021e+21,6.936962415940864410e+19,2.268478177501117481e+20
2.059000000000000000e+03,7.770379599087099545e+06,3.489025236226489524e-01,7.567046318350151188e+20,6.839875559757071155e+19,2.160307788199584072e+20
2.059000000000000000e+03,7.770379599087099545e+06,4.392422532276674119e-01,3.789710479589815091e+20,6.688778942248376730e+19,1.999313043298439004e+20
2.059000000000000000e+03,7.770379599087099545e+06,5.529732345220390588e-01,1.504939832280162304e+20,6.456114463070751949e+19,1.768321356440262738e+20
2.059000000000000000e+03,7.770379599087099545e+06,6.961520569818105963e-01,5.560848333578472653e+19,6.103830830524050637e+19,1.455551643421637345e+20
2.059000000000000000e+03,7.770379599087099545e+06,8.764035150071823876e-01,1.148183379010173338e+19,5.584452684704872858e+19,1.069031762321591337e+20
2.059000000000000000e+03,7.770379599087099545e+06,1.103326656028272623e+00,3.781026652095623040e+17,4.850304493275488256e+19,6.552980956318407885e+19
2.059000000000000000e+03,7.770379599087099545e+06,1.389005964783874614e+00,4.979578775765953000e+15,3.879314854188388352e+19,3.015742247462758810e+19
2.059000000000000000e+03,7.770379599087099545e+06,1.748654906200093562e+00,8.597613426120013000e+15,2.722690260208123494e+19,8.814445406779827200e+18
2.059000000000000000e+03,7.770379599087099545e+06,2.201426097873843357e+00,2.079403231494073750e+15,1.553499918513438106e+19,1.258673430637050624e+18
2.059000000000000000e+03,7.770379599087099545e+06,2.771431256800255039e+00,3.415278064038194375e+14,6.384117466530038784e+18,5.903147200207016800e+16
2.059000000000000000e+03,7.770379599087099545e+06,3.489025236226488413e+00,8.008321794125728125e+13,1.559698836977924096e+18,7.075204612761141250e+14
2.059000000000000000e+03,7.770379599087099545e+06,4.392422532276672342e+00,4.669889295485067969e+13,1.672076878284058560e+17,5.923412331998294531e+13
2.059000000000000000e+03,7.770379599087099545e+06,5.529732345220386591e+00,3.394460320149163281e+13,4.898557189177618000e+15,3.426099371103106641e+13
2.059000000000000000e+03,7.770379599087099545e+06,6.961520569818103077e+00,2.061464011255897266e+13,4.121329026736853125e+13,2.187409393420550391e+13
2.059000000000000000e+03,7.770379599087099545e+06,8.764035150071821434e+00,1.434793210995020898e+13,1.465063568742440039e+13,1.445684539879130273e+13
2.059000000000000000e+03,7.770379599087099545e+06,1.103326656028272268e+01,8.076116069974748047e+12,8.746398662242118164e+12,8.438903508920977539e+12
2.059000000000000000e+03,7.770379599087099545e+06,1.389005964783873459e+01,4.796891219289673828e+12,5.055697011204020508e+12,4.934900225652581055e+12
2.059000000000000000e+03,7.770379599087099545e+06,1.748654906200092896e+01,2.860501804963739746e+12,2.974961901333779785e+12,2.921977418203240234e+12
2.059000000000000000e+03,7.770379599087099545e+06,2.201426097873843446e+01,1.638118166335905273e+12,1.700518788840863281e+12,1.671040691159785400e+12
2.059000000000000000e+03,7.770379599087099545e+06,2.771431256800252640e+01,9.039545182594194336e+11,9.297012786409814453e+11,9.175119999117924805e+11
2.059000000000000000e+03,7.770379599087099545e+06,3.489025236226484594e+01,3.961678951845232544e+11,2.292473840471500549e+11,2.138589444814450684e+11
2.028000000000000000e+03,7.932664588407689705e+06,1.762400354919585466e-01,6.069327335760013558e+20,5.065275113504283853e+19,1.514376103206196019e+20
2.028000000000000000e+03,7.932664588407689705e+06,2.218730592563325499e-01,6.927519922907569193e+20,5.038125319718453248e+19,1.489742057627245281e+20
2.028000000000000000e+03,7.932664588407689705e+06,2.793216324903100567e-01,6.076587367999394284e+20,4.995393683119313715e+19,1.451517395166155571e+20
2.028000000000000000e+03,7.932664588407689705e+06,3.516451012058826597e-01,3.733321317493745910e+20,4.928410059407432909e+19,1.392933327643934556e+20
2.028000000000000000e+03,7.932664588407689705e+06,4.426949538410173690e-01,3.443435455971875881e+20,4.824083875172350362e+19,1.304887620121300173e+20
2.028000000000000000e+03,7.932664588407689705e+06,5.573199270635026403e-01,1.587119370450702172e+20,4.663244645981866394e+19,1.176603651199246828e+20
2.028000000000000000e+03,7.932664588407689705e+06,7.016242186795152991e-01,1.016586440808426045e+20,4.419248475537345741e+19,9.986333810825070182e+19
2.028000000000000000e+03,7.932664588407689705e+06,8.832925584258694007e-01,5.074536327572623360e+19,4.058432608582420890e+19,7.701141012620556698e+19
2.028000000000000000e+03,7.932664588407689705e+06,1.111999447851011125e+00,1.456063602126684979e+19,3.545973351460324147e+19,5.103097193014221210e+19
2.028000000000000000e+03,7.932664588407689705e+06,1.399924362800720745e+00,1.213867746288899840e+18,2.863061515180663194e+19,2.661172133658675200e+19
2.028000000000000000e+03,7.932664588407689705e+06,1.762400354919584577e+00,3.100121914127682000e+16,2.039868609649376051e+19,9.515815045989443584e+18
2.028000000000000000e+03,7.932664588407689705e+06,2.218730592563323611e+00,2.008895446866543750e+15,1.192066705793113498e+19,1.880732375160086528e+18
2.028000000000000000e+03,7.932664588407689705e+06,2.793216324903099679e+00,4.173736830190566250e+14,5.089134026959220736e+18,1.463928272930202240e+17
2.028000000000000000e+03,7.932664588407689705e+06,3.516451012058825931e+00,9.120140458998117188e+13,1.321419463019408640e+18,2.786145765651138500e+15
2.028000000000000000e+03,7.932664588407689705e+06,4.426949538410171137e+00,5.605375347100457031e+13,1.561951879762225280e+17,6.987223195054010938e+13
2.028000000000000000e+03,7.932664588407689705e+06,5.573199270635021740e+00,2.649302818735494922e+13,5.346614569161425000e+15,3.113453022029467578e+13
2.028000000000000000e+03,7.932664588407689705e+06,7.016242186795150104e+00,1.911311754657625781e+13,4.532458795176382812e+13,1.901106936713567188e+13
2.028000000000000000e+03,7.932664588407689705e+06,8.832925584258692453e+00,9.822740223778232422e+12,1.117100964483022656e+13,1.055003131242816992e+13
2.028000000000000000e+03,7.932664588407689705e+06,1.111999447851010636e+01,5.605782001528585938e+12,6.035051978419314453e+12,5.822049341832127930e+12
2.028000000000000000e+03,7.932664588407689705e+06,1.399924362800719635e+01,3.106307168227928711e+12,3.274864085485526367e+12,3.197875246132954102e+12
2.028000000000000000e+03,7.932664588407689705e+06,1.762400354919583378e+01,1.445242962496623535e+12,1.572112139611545166e+12,1.511996760718674316e+12
2.028000000000000000e+03,7.932664588407689705e+06,2.218730592563323611e+01,6.588219189135463867e+11,7.060955766367758789e+11,6.834870436193629150e+11
2.028000000000000000e+03,7.932664588407689705e+06,2.793216324903096748e+01,2.703005761381465454e+11,2.888962559236850586e+11,2.799211977850565796e+11
2.028000000000000000e+03,7.932664588407689705e+06,3.516451012058822556e+01,7.424848565052204895e+10,4.961391003734524536e+10,4.344247930763159180e+10
1.927000000000000000e+03,1.497229684753102064e+07,1.814774937366125940e-01,3.701465079233983807e+21,1.116430860490601103e+20,3.528907484143650734e+20
1.927000000000000000e+03,1.497229684753102064e+07,2.284666285337383917e-01,1.762587806225973641e+21,1.109916822214207242e+20,3.462332991942087803e+20
1.927000000000000000e+03,1.497229684753102064e+07,2.876224444080616172e-01,1.537246333392367649e+21,1.099670606895527690e+20,3.359396978987357307e+20
1.927000000000000000e+03,1.497229684753102064e+07,3.620952042676639504e-01,9.783601915041787412e+20,1.083625037852991160e+20,3.202521344569271255e+20
1.927000000000000000e+03,1.497229684753102064e+07,4.558508541413618942e-01,5.706140398708366377e+20,1.058673188424733491e+20,2.968841783073328988e+20
1.927000000000000000e+03,1.497229684753102064e+07,5.738822242666368201e-01,3.103204781961337897e+20,1.020299867956661289e+20,2.633103207460553032e+20
1.927000000000000000e+03,1.497229684753102064e+07,7.224749155062283323e-01,1.328384452884417249e+20,9.623137507341048218e+19,2.177453288403271680e+20
1.927000000000000000e+03,1.497229684753102064e+07,9.095420305146346696e-01,7.179214100899474637e+19,8.770931200247437722e+19,1.612106476784207790e+20
1.927000000000000000e+03,1.497229684753102064e+07,1.145045575309739272e+00,9.693649365917868032e+18,7.572302473509617664e+19,1.002562976424496005e+20
1.927000000000000000e+03,1.497229684753102064e+07,1.441526972419902686e+00,1.198250397761025024e+18,5.999327242132233421e+19,4.741978535656503706e+19
1.927000000000000000e+03,1.497229684753102064e+07,1.814774937366124830e+00,1.153556935057457120e+17,4.148373125771480269e+19,1.464373342806311936e+19
1.927000000000000000e+03,1.497229684753102064e+07,2.284666285337382252e+00,5.627845625365438000e+15,2.312398873724243968e+19,2.349337526658054656e+18
1.927000000000000000e+03,1.497229684753102064e+07,2.876224444080615061e+00,1.318206832197844750e+15,9.164675849398663168e+18,1.424850096416742880e+17
1.927000000000000000e+03,1.497229684753102064e+07,3.620952042676638616e+00,3.837631427594648125e+14,2.118118012701609472e+18,2.760424131314436500e+15
1.927000000000000000e+03,1.497229684753102064e+07,4.558508541413616832e+00,6.488617489637302344e+13,2.090560370909036480e+17,1.561887001378867812e+14
1.927000000000000000e+03,1.497229684753102064e+07,5.738822242666364204e+00,4.637294011885907031e+13,5.472947626474024000e+15,4.760875628641585938e+13
1.927000000000000000e+03,1.497229684753102064e+07,7.224749155062280437e+00,2.261007695247336719e+13,4.585296063694697656e+13,2.496275448068848828e+13
1.927000000000000000e+03,1.497229684753102064e+07,9.095420305146344475e+00,1.277168549289440625e+13,1.420765982386790430e+13,1.340479191548064062e+13
1.927000000000000000e+03,1.497229684753102064e+07,1.145045575309738872e+01,7.209670016728221680e+12,7.746802326967078125e+12,7.489742293961380859e+12
1.927000000000000000e+03,1.497229684753102064e+07,1.441526972419901398e+01,3.938974598964913086e+12,4.197153495583703613e+12,4.076874201981698730e+12
1.927000000000000000e+03,1.497229684753102064e+07,1.814774937366123808e+01,2.079640423736598633e+12,2.208103311922400879e+12,2.147471116811075928e+12
1.927000000000000000e+03,1.497229684753102064e+07,2.284666285337382163e+01,1.108542861474311279e+12,1.153879931069709961e+12,1.132502940654940918e+12
1.927000000000000000e+03,1.497229684753102064e+07,2.876224444080612130e+01,4.947204657113093872e+11,5.224129283417103271e+11,5.090533431957380371e+11
1.927000000000000000e+03,1.497229684753102064e+07,3.620952042676634619e+01,1.717310594518210754e+11,1.055268275500680237e+11,9.581017060079286194e+10
